key,multi_pairs,occurrences,avg_parts
source:board_type,1,11,2.0
source:diet,2,11,2.0
barrier,6,11,2.0
species,9,11,2.89
healthcare:for,7,11,2.0
contact:emergency,11,11,2.09
ref:sisa_codigo,11,11,2.0
opening_hours:url,11,11,2.64
practitioner,11,11,3.55
musical_instrument:type,10,11,3.1
breakfast:buffet,11,11,2.18
opening_hours:summer,11,11,2.55
recycling:clothes,1,11,2.0
source:strapline,1,11,2.0
start_date:fr,5,11,2.2
description:destination,8,11,2.88
turno,1,11,2.0
isced:level:2011,5,11,2.2
source:memorial,1,11,2.0
restriction:conditional,1,11,3.0
fee_zone,2,11,2.0
alt_name:be,11,11,2.36
species:wikidata,11,11,2.27
wheelchair:description:en,9,11,2.33
operator:short,7,10,3.0
inscription:en,10,10,3.1
old_opening_hours,10,10,2.8
charging_station:plug,5,10,3.4
addr:conscriptionnumber,10,10,2.0
destination:5,9,10,2.56
description:payment,7,10,2.43
payment:fuel_cards,7,10,3.71
valve,6,10,2.17
brand:sales,10,10,4.6
memorial:website,2,10,2.0
source:access,2,10,2.0
MNC,8,10,2.63
comment:it,7,10,2.43
memorial:type,8,10,2.0
ref:nrhp,10,10,2.1
opening_hours:repair,4,10,2.25
natural,5,10,2.0
polling_station:ref,10,10,2.0
direction_south:4,10,10,2.9
attraction,9,10,2.33
open,10,10,3.1
ref:GB:cqc_location,10,10,2.0
opening_hours:lunch,10,10,2.1
orientation,3,10,2.0
tower:type,2,10,2.0
old_name:en,9,10,2.33
payment:debit_cards,4,10,3.5
xmas:opening_hours,10,10,2.9
building:colour,9,10,2.44
height,9,10,2.11
description:pl,10,10,2.1
brand:en,9,10,2.0
source:smoking,2,10,2.0
vehicle:parts,2,10,3.0
fix_guidepost,9,9,2.11
owner:ref:FR:SIREN,6,9,10.5
restaurant:type,9,9,2.22
description:covid19,7,9,2.86
description:cs,9,9,2.22
addr:comment,9,9,2.0
ski:type,5,9,2.8
waymark:yellow_w:arrow,3,9,2.0
sculptor,9,9,2.0
lte:LAC,9,9,2.56
internet_access:bssid,9,9,2.0
heading:southwest,9,9,2.44
direction_north:distance,9,9,4.11
type:FR:FINESS,8,9,2.0
vending_machine,9,9,2.22
laundry:washing,8,9,2.63
source:start_date,3,9,2.0
alt_name:th,9,9,2.11
private,7,9,2.0
direction_northeast:4,9,9,2.22
diet:kosher:certification,6,9,2.33
alt_name:sk,9,9,2.33
charge:student,9,9,4.67
historic:date,9,9,2.33
guide,9,9,2.33
source:alt_name,9,9,2.22
addr:room,9,9,2.11
building:use,4,9,2.0
opening_hours:zh,8,9,4.75
source:recycling_type,1,9,2.0
inscription:4,9,9,2.33
destination:backward,9,9,2.44
speciality,9,9,2.56
capacity:free:hourly:fall,9,9,10.89
second_hand,8,9,2.25
ref:FR:REVEO,9,9,2.44
department,9,9,2.0
destination:sign,8,8,2.0
ref:csioz,8,8,2.25
opening_hours:emergency,8,8,2.38
coin:type,5,8,3.0
drive_through,7,8,2.57
gns:name:variants,8,8,2.5
umts:RNC,8,8,2.5
parking,6,8,2.17
destination:lang:zh,2,8,2.0
parking:condition:time_interval,8,8,2.13
source:location,7,8,2.0
certification:rating,1,8,2.0
strapline,8,8,2.13
to:zh,1,8,2.0
collection_times:paper,4,8,2.5
name:el,7,8,2.0
destination:en,8,8,4.63
seating,1,8,2.0
sponsor,5,8,2.4
description:he,8,8,2.0
artwork:theme,8,8,3.25
guidepost:material,2,8,2.0
direction_north:4,8,8,2.5
seamark:landmark:colour,4,8,2.0
socket:type2:current,3,8,2.0
addr:district,8,8,2.0
ref:FR:prix-carburants,8,8,2.0
shower,8,8,2.0
dress_code,3,8,2.67
toilets_access,2,8,2.0
source2,1,8,2.0
swimming_pool,1,8,2.0
name:it,8,8,2.0
electronics,8,8,2.5
restaurant:type:nl,7,8,2.0
waste_disposal,1,8,2.0
opening_hours:prenatal,7,8,2.14
destination:time,8,8,6.0
umts:LAC,8,8,2.5
contact2:phone,8,8,2.0
to:en,2,8,2.0
cooperative:agricultural,4,8,3.0
institution:support,5,8,3.0
opening_hours:sale,6,8,2.17
destination:lang:sr,7,7,2.43
atv:sales,1,7,2.0
car:repair,6,7,2.17
taxon,7,7,2.0
source:description,5,7,2.0
community_centre,7,7,2.71
gsm:LAC,7,7,2.57
source:dog,2,7,2.0
price,7,7,2.14
animal_shelter:adoption,3,7,2.67
contact,5,7,2.0
toilets:wheelchair,4,7,2.0
person:date_of_birth,5,7,2.0
ref:enel:code,1,7,2.0
ref:open.toronto.ca:bicycle-parking-racks:objectid,5,7,2.4
produce:ja,5,7,3.2
ref:SE:skolverket,7,7,2.29
contact_person,7,7,2.0
network:short,5,7,2.0
old_cuisine,7,7,2.0
lunch:buffet,7,7,2.29
shelter_type,4,7,2.0
old_amenity,7,7,2.0
payment:cash:conditional,6,7,2.33
scuba_diving:spoken_languages,7,7,2.71
ref:enel:serial_number,1,7,2.0
disused:office,7,7,2.0
opening_hours:parts,7,7,2.86
loc_ref,7,7,2.0
rwn_ref,3,7,2.33
description:ro,7,7,2.29
umts:PSC,7,7,4.14
destination:lang:sr-Latn,7,7,2.43
tyres_repair,2,7,2.5
taxon:ru,7,7,2.0
position:waypoint:1,7,7,4.0
direction_west:4,7,7,2.43
education,6,7,2.0
direction_northeast:en,6,7,2.33
alt_name:es,7,7,4.43
contents,7,7,3.43
ref:FR:NAF,7,7,2.0
operating_hours,7,7,2.0
organic,3,7,2.0
building_roof_base_material,2,6,2.0
source:old_name,5,6,2.0
healthcare:speciality:ja,6,6,6.0
martial_arts,6,6,3.17
hobby,6,6,3.0
source:takeaway,2,6,2.0
trolley:deposit:denominations,2,6,2.5
road,4,6,2.0
slipway:type,1,6,2.0
opening_hours:es,6,6,2.0
clt:criteria,3,6,2.67
brand:service,6,6,2.17
source:wheelchair,1,6,2.0
destination:lang:br,6,6,2.67
artist_name:en,6,6,2.67
floor,4,6,3.75
payment:electronic_purses,6,6,2.17
ref:FR:objectidPerpignan,6,6,2.17
award:michelin:bib_gourmand,6,6,6.0
distributor,6,6,2.0
idrettsanleggregisteret:iid,6,6,2.0
collection_times:plastic,3,6,2.67
operator:wikipedia,6,6,2.0
castle_type,3,6,2.0
