key_group,distinct_keys,n,pair_share
school:*,71,57699,0.0004
panoramax,1,54079,0.0004
changing_table,1,53448,0.0004
operational_status,1,52040,0.0004
public_transport,1,51416,0.0004
beauty,1,49812,0.0004
mobile,1,49286,0.0004
cash_in,1,48546,0.0003
royal_cypher:*,3,48359,0.0003
education,1,47696,0.0003
tumulus,1,46510,0.0003
drink:*,360,45616,0.0003
gbfs:*,3,45364,0.0003
product,1,44651,0.0003
language:*,231,44452,0.0003
bicycle_rental,1,43741,0.0003
reservation,1,41405,0.0003
supervised,1,41366,0.0003
fountain,1,41259,0.0003
entrance,1,41033,0.0003
wheelchair:*,63,39583,0.0003
seamark:*,241,39366,0.0003
person:*,16,39322,0.0003
lockable,1,38695,0.0003
int_name,1,38537,0.0003
education:*,155,37493,0.0003
heritage:*,47,37199,0.0003
second_hand,1,36902,0.0003
heritage,1,36804,0.0003
social_facility:*,17,36210,0.0003
website:*,209,35644,0.0003
industrial,1,34499,0.0002
natural,1,33977,0.0002
flour_fortified,1,33292,0.0002
fvst:*,12,33028,0.0002
bottle,1,32990,0.0002
place,1,32291,0.0002
official_name:*,129,31980,0.0002
maxheight,1,30913,0.0002
colour:*,20,30755,0.0002
parking:*,96,30667,0.0002
compressed_air,1,30057,0.0002
highway,1,30000,0.0002
bus,1,29736,0.0002
rooms,1,29709,0.0002
owner,1,29327,0.0002
stars,1,28294,0.0002
building:*,81,28049,0.0002
mtb,1,27570,0.0002
guidepost,1,27310,0.0002
facebook,1,27238,0.0002
ssr:*,6,27050,0.0002
manufacturer,1,27049,0.0002
display,1,26642,0.0002
tents,1,26318,0.0002
destination,1,25972,0.0002
seasonal,1,25957,0.0002
SEP:*,1,24874,0.0002
is_in:*,94,24507,0.0002
post_office:*,61,24484,0.0002
organic,1,23816,0.0002
postal_code,1,23599,0.0002
disused:*,420,23588,0.0002
board:*,59,23404,0.0002
emergency,1,23234,0.0002
boundary_name:*,6,23153,0.0002
backcountry,1,22930,0.0002
phone:*,235,22929,0.0002
pump,1,22683,0.0002
charge,1,22500,0.0002
entrance:*,21,22382,0.0002
ferry,1,22329,0.0002
caravans,1,21902,0.0002
direction_north,1,21877,0.0002
direction_south,1,21632,0.0002
was:*,402,21372,0.0002
direction_east,1,21141,0.0002
power_supply,1,21076,0.0002
direction_west,1,20929,0.0001
watsan:*,64,20655,0.0001
short_name:*,89,20548,0.0001
hunting_stand,1,20461,0.0001
bar,1,20111,0.0001
fireplace,1,19858,0.0001
post_office,1,19845,0.0001
artist:*,18,19438,0.0001
ruins,1,19352,0.0001
min_age,1,19032,0.0001
fitness_station,1,18318,0.0001
military,1,18207,0.0001
format,1,18093,0.0001
hgv,1,17950,0.0001
hide,1,17765,0.0001
booth,1,17670,0.0001
public_bookcase:*,5,17578,0.0001
direction_northeast,1,17320,0.0001
direction_southwest,1,17173,0.0001
created_by,1,17056,0.0001
brewery,1,16977,0.0001
direction_northwest,1,16836,0.0001
direction_southeast,1,16722,0.0001
rental,1,16707,0.0001
community_centre,1,16692,0.0001
automated,1,16605,0.0001
visibility,1,16481,0.0001
not:*,115,16386,0.0001
fuel,1,16333,0.0001
guest_house,1,15747,0.0001
model,1,15731,0.0001
maxstay,1,15649,0.0001
designation,1,15312,0.0001
project:*,34,15000,0.0001
service,1,13856,0.0001
health_facility:*,24,13813,0.0001
date,1,13317,0.0001
drinking_water:*,32,13244,0.0001
motorcycle,1,13114,0.0001
type,1,12911,0.0001
barrier,1,12844,0.0001
townhall:*,3,12471,0.0001
dog,1,12377,0.0001
country,1,12323,0.0001
megalith_type,1,12080,0.0001
attraction,1,12010,0.0001
noname,1,11964,0.0001
ladder,1,11655,0.0001
trade,1,11549,0.0001
restaurant,1,11368,0.0001
IPP:*,16,11260,0.0001
nat_ref,1,11184,0.0001
thc:*,2,11073,0.0001
ownership,1,11061,0.0001
grades,1,10942,0.0001
smoothness,1,10934,0.0001
diplomatic,1,10931,0.0001
hairdresser,1,10922,0.0001
stroller,1,10675,0.0001
tomb,1,10513,0.0001
museum,1,10380,0.0001
faces,1,10261,0.0001
nohousenumber,1,10240,0.0001
type:*,14,10186,0.0001
GNS:*,16,10003,0.0001
attribution,1,9998,0.0001
bunker_type,1,9979,0.0001
max_age,1,9794,0.0001
destination:*,73,9584,0.0001
distance,1,9570,0.0001
seats:*,19,9429,0.0001
target,1,9315,0.0001
artwork_subject,1,9285,0.0001
is_in,1,9279,0.0001
statue,1,9178,0.0001
ski,1,9164,0.0001
beds,1,9026,0.0001
disused,1,8927,0.0001
fixme:*,87,8893,0.0001
parcel_locker:*,4,8833,0.0001
format:*,4,8785,0.0001
microbrewery,1,8760,0.0001
admin_level,1,8736,0.0001
service_times,1,8691,0.0001
surveillance,1,8687,0.0001
scooter,1,8650,0.0001
boundary,1,8552,0.0001
nysgissam:*,4,8496,0.0001
horse,1,8465,0.0001
shower,1,8427,0.0001
cash_out,1,8398,0.0001
informal,1,8344,0.0001
openfire,1,8273,0.0001
food,1,8264,0.0001
image:*,59,8225,0.0001
studio,1,8216,0.0001
material:*,27,8056,0.0001
fast_food,1,7926,0.0001
hot_water,1,7899,0.0001
orientation,1,7895,0.0001
loc_name,1,7895,0.0001
cemetery,1,7782,0.0001
cash_withdrawal:*,11,7751,0.0001
osmc:*,2,7705,0.0001
dance:*,3,7656,0.0001
marker,1,7560,0.0001
guide_type,1,7456,0.0001
picnic_table,1,7427,0.0001
park_ride,1,7415,0.0001
bike_ride,1,7355,0.0001
portable,1,7343,0.0001
dump:*,1,7334,0.0001
width,1,7278,0.0001
female:*,3,7122,0.0001
male:*,4,7121,0.0001
bic,1,7049,0.0001
flood_prone,1,7027,0.0001
feeding:*,4,6998,0.0001
roof:*,18,6921,0.0
facility:*,73,6831,0.0
level:*,6,6829,0.0
sanitary_dump_station:*,22,6790,0.0
frequency,1,6779,0.0
health_specialty:*,198,6777,0.0
playground,1,6732,0.0
mhs:*,3,6718,0.0
charging_station:*,22,6700,0.0
insurance:*,33,6659,0.0
war_memorial,1,6651,0.0
tower:*,14,6600,0.0
raised,1,6456,0.0
two_sided,1,6210,0.0
laundry_service,1,6165,0.0
embassy,1,6095,0.0
foot,1,6089,0.0
highchair,1,6085,0.0
disabled,1,6056,0.0
length,1,6054,0.0
fortification_type,1,6012,0.0
condition,1,5823,0.0
inscription:*,202,5757,0.0
model:*,23,5721,0.0
changing_table:*,20,5649,0.0
repair,1,5647,0.0
club,1,5645,0.0
sanitary_dump_station,1,5639,0.0
guidepost:*,15,5612,0.0
motorcycle:*,35,5543,0.0
castle_type,1,5530,0.0
atm:*,24,5521,0.0
abandoned,1,5501,0.0
paho:*,13,5484,0.0
camp_pitch:*,7,5468,0.0
collection_plate,1,5458,0.0
branch:*,59,5430,0.0
refrigerated,1,5408,0.0
tobacco,1,5395,0.0
position,1,5220,0.0
water_point,1,5198,0.0
door,1,5178,0.0
vending_machine,1,5041,0.0
ele:*,48,5012,0.0
comment,1,4946,0.0
panoramax:*,58,4902,0.0
openplaques:*,1,4891,0.0
author,1,4868,0.0
voltage,1,4822,0.0
loc_ref,1,4801,0.0
construction_date,1,4753,0.0
fid,1,4732,0.0
instagram,1,4727,0.0
at_bev:*,2,4672,0.0
address,1,4619,0.0
damage,1,4618,0.0
water_source,1,4589,0.0
staff_count:*,6,4554,0.0
playground:*,72,4521,0.0
zone,1,4482,0.0
camp_site,1,4475,0.0
school,1,4443,0.0
app_operated,1,4420,0.0
bench:*,23,4408,0.0
amperage,1,4401,0.0
resource,1,4374,0.0
full_name,1,4366,0.0
locked,1,4297,0.0
medical_system:*,11,4296,0.0
waterway,1,4293,0.0
old_name:*,501,4278,0.0
cargo,1,4271,0.0
listed_status,1,4265,0.0
community_centre:*,4,4255,0.0
generator:*,18,4249,0.0
